Author	Link	identifier	givenName	familyName	alternateNames	birthDate	birthPlace	birthCountry	deathDate	deathPlace	deathCountry	gender	occupation	period	language	category	organisation	occupationHisclass	Hisclass	lowestHisclass
Albert Kuyle	https://www.dbnl.org/auteurs/auteur.php?id=kuyl001	kuyl001	Louis Maria Albertus	Kuyle	Albert Kuyle/L.M.A Kuitenbrouwer	1904-02-17	Utrecht	Nederland	1958-03-04	Utrecht	Nederland	male	uitgever/boekdrukker/redacteur/journalist	Twintigste Eeuw	nl	jeugdliteratuur		uitgever/boekdrukker/redacteur/journalist	1.0/7.0/2.0/2.0	1.0
L.J.M. Feber	https://www.dbnl.org/auteurs/auteur.php?id=febe001	febe001	Louis Jean Marie	Feber	L.J.M. Feber	1885-04-24	Bergen op Zoom	Nederland	1964-07-03	Den Haag	Nederland	male	architect/bouwkundig ingenieur/journalist/bouwmeester/redacteur/militair/staatsman/bestuurder/politicus/officier	Twintigste Eeuw	nl	jeugdliteratuur/suriname		bouwkundig ingenieur/architect/militair/bestuurder/redacteur/ambtman/bouwmeester/officier/journalist	2.0/2.0/9.0/1.0/2.0/1.0/1.0/1.0/2.0	1.0
G.P.M. Knuvelder	https://www.dbnl.org/auteurs/auteur.php?id=knuv001	knuv001	Gerard	Knuvelder	G.P.M. Knuvelder	1902-01-25	Arnhem	Nederland	1982-06-29	Eindhoven	Nederland	male	onderwijzer (basisschool)	Twintigste Eeuw	nl	secundair		onderwijzer op een lagere school	4.0	4.0
M. Bruna	https://www.dbnl.org/auteurs/auteur.php?id=brun024	brun024	Michaël Albertus (Miech)	Bruna	M. Bruna	1903-01-30	Utrecht	Nederland				male	wiskundige/natuurwetenschapper	Twintigste Eeuw	nl	nonfictie		natuurwetenschapper/doctor in de wiskunde	2.0/2.0	2.0
Bernard Verhoeven	https://www.dbnl.org/auteurs/auteur.php?id=verh038	verh038	Bernardus Johannes	Verhoeven	Bernard Verhoeven	1897-04-29	Arnhem	Nederland	1965-06-04	Arnhem	Nederland	male	staatsman/bestuurder/politicus	Twintigste Eeuw	nl	secundair		bestuurder/ambtman	1.0/1.0	1.0
Adr. E. Maas	https://www.dbnl.org/auteurs/auteur.php?id=maas026	maas026	Adrien Eugène	Maas	Adr. E. Maas	1817-01-06	Rotterdam	Nederland	1886-07-03	Scheveningen	Nederland	male		Negentiende Eeuw		nonfictie				
Marnix Gijsen	https://www.dbnl.org/auteurs/auteur.php?id=gijs006	gijs006	Marnix	Gijsen	Joannes Alphonsius Albertus Goris/Marnix Gijsen	1899-10-20	Antwerpen	België (Vlaanderen)	1984-09-29	Leuven	België (Vlaanderen)	male	staatsman/bestuurder/politicus	Twintigste Eeuw	nl	secundair/nonfictie		bestuurder/ambtman	1.0/1.0	1.0
Ed. Hoornik	https://www.dbnl.org/auteurs/auteur.php?id=hoor009	hoor009	Eduard Jozef Antonie Marie	Hoornik	Ed. Hoornik	1910-03-09	Den Haag	Nederland	1970-03-01	Amsterdam	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl	jeugdliteratuur		redacteur/journalist	2.0/2.0	2.0
Gerard Bruning	https://www.dbnl.org/auteurs/auteur.php?id=brun008	brun008	Gerard	Bruning	Gerard Bruning	1898-02-18	Amsterdam	Nederland	1926-10-08	Nijmegen	Nederland	male		Twintigste Eeuw	nl					
Sybold van Ravesteyn	https://www.dbnl.org/auteurs/auteur.php?id=rave015	rave015	Sybold	van Ravesteyn	Sijbold van Ravesteijn/Sybold van Ravesteyn	1889-02-18			1983-11-23	Laren	Nederland	male	architect/bouwkundig ingenieur/bouwmeester	Twintigste Eeuw	nl	nonfictie		bouwkundig ingenieur/architect/bouwmeester	2.0/2.0/1.0	1.0
Piet Visser	https://www.dbnl.org/auteurs/auteur.php?id=viss154	viss154	Piet	Visser	Piet Visser	1898-xx-xx						male		19e/20e Eeuw		jeugdliteratuur				
J. Eigenhuis	https://www.dbnl.org/auteurs/auteur.php?id=eige001	eige001	Jan	Eigenhuis	J. Eigenhuis	1866-xx-xx	Aalsmeer	Nederland	1944-10-16	Epe	Nederland	male	leraar/docent/hoogleraar	19e/20e Eeuw	nl	jeugdliteratuur		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Dirk Coster	https://www.dbnl.org/auteurs/auteur.php?id=cost006	cost006	Dirk	Coster	Dirk Coster	1887-07-07	Delft	Nederland	1956-10-08	Delft	Nederland	male	letterkundige (NIET-neerl.)/redacteur/journalist/vertaler	Twintigste Eeuw	nl	secundair		letterkundige/redacteur/vertaler/journalist	2.0/2.0/4.0/2.0	2.0
Herman Teirlinck	https://www.dbnl.org/auteurs/auteur.php?id=teir001	teir001	Herman	Teirlinck	Herman Louis Cesar  Teirlinck/Herman Teirlinck/Jan van Overeyde	1879-02-24	Sint-Jans-Molenbeek	België (Brussel)	1967-02-04	Beersel	België (Vlaanderen)	male	ambtenaar/journalist/leraar/redacteur/hoogleraar/docent	Twintigste Eeuw	nl	nonfictie		redacteur/journalist/hoogleraar/leraar/docent/ambtenaar	2.0/2.0/2.0/2.0/2.0/5.0	2.0
Jan Campert	https://www.dbnl.org/auteurs/auteur.php?id=camp014	camp014	Jan	Campert	Jan Campert	1902-08-15	Spijkenisse	Nederland	1943-01-12	Neuengamme	Duitsland	male	redacteur/journalist	Twintigste Eeuw	nl	secundair		redacteur/journalist	2.0/2.0	2.0
Henriette Roland Holst-van der Schalk	https://www.dbnl.org/auteurs/auteur.php?id=rola003	rola003	Henriette	Roland Holst-van der Schalk	Henriette Roland Holst-van der Schalk	1869-12-24	Noordwijk	Nederland	1952-11-21	Amsterdam	Nederland	female		19e/20e Eeuw	nl	secundair/nonfictie				
Jos. van der Kolk	https://www.dbnl.org/auteurs/auteur.php?id=kolk010	kolk010	Jos.	van der Kolk	Jos. van der Kolk	1879-xx-xx			1930-xx-xx			male	rk-geestelijke/kloosterling	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
C.A. Terburg	https://www.dbnl.org/auteurs/auteur.php?id=terb004	terb004	Casimirus (Cas)	Terburg	C.A. Terburg	1892-xx-xx			1970-xx-xx			male	rk-geestelijke/kloosterling/vertaler	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling/vertaler	2.0/4.0/4.0	2.0
H. Marsman	https://www.dbnl.org/auteurs/auteur.php?id=mars005	mars005	Hendrik	Marsman	H. Marsman	1899-09-30	Zeist	Nederland	1940-06-21	Het Kanaal		male	advocaat/jurist	Twintigste Eeuw	nl	secundair		advocaat/jurist	2.0/2.0	2.0
J.A. Dom Gregorius de Wit	https://www.dbnl.org/auteurs/auteur.php?id=wit_033	wit_033	Johannes Aloysius	de Wit	Dom Gregorius de Wit/Gregorius de Wit/J.A. Dom Gregorius de Wit	1892-06-09	Hilversum	Nederland	1978-xx-xx	Visp	Zwitserland	male	rk-geestelijke/kloosterling	Twintigste Eeuw				rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Jean Cocteau	https://www.dbnl.org/auteurs/auteur.php?id=coct001	coct001	Jean Maurice Clément Eugène	Cocteau	Jean Cocteau	1889-07-05	Maisons-Laffitte	Frankrijk	1963-10-11	Milly-la-Forêt	Frankrijk	male		Twintigste Eeuw	fr	buitenland				
Wim Snitker	https://www.dbnl.org/auteurs/auteur.php?id=snit002	snit002	Willem	Snitker	Wim Snitker	1901-xx-xx			1950-xx-xx			male	redacteur/journalist	Twintigste Eeuw				redacteur/journalist	2.0/2.0	2.0
P.A. Kerstens	https://www.dbnl.org/auteurs/auteur.php?id=kers013	kers013	Pieter Adriaan (Piet)	Kerstens	P.A. Kerstens	1896-08-23	Ginneken	Nederland	1958-10-08	Den Haag	Nederland	male	onderwijzer (basisschool)/staatsman/bestuurder/politicus	Twintigste Eeuw	nl	secundair		bestuurder/onderwijzer op een lagere school/ambtman	1.0/4.0/1.0	1.0
Eliseus Bruning	https://www.dbnl.org/auteurs/auteur.php?id=brun007	brun007	Henricus	Bruning	Eliseus Bruning/Henricus Bruning	1892-11-25	Geldrop	Nederland	1958-05-31	Nijmegen	Nederland	male	rk-geestelijke/kloosterling	Twintigste Eeuw	nl	nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Willem ten Berge	https://www.dbnl.org/auteurs/auteur.php?id=berg028	berg028	Willem Gregorius Severinus	ten Berge	Willem ten Berge	1903-07-03	Leens	Nederland	1969-05-12	Haarlem	Nederland	male		Twintigste Eeuw	nl					
Menno ter Braak	https://www.dbnl.org/auteurs/auteur.php?id=braa002	braa002	Menno	ter Braak	Menno ter Braak	1902-01-26	Eibergen	Nederland	1940-05-15	Den Haag	Nederland	male		Twintigste Eeuw	nl					
Wouter Lutkie	https://www.dbnl.org/auteurs/auteur.php?id=lutk002	lutk002	Wouterus Leonardus (Wouter)	Lutkie	Wouter Lutkie	1887-02-23	Hertogenbosch	Nederland	1968-01-23	Nuland	Nederland	male	rk-geestelijke/kloosterling	Twintigste Eeuw	nl			rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Hendrik Andriessen	https://www.dbnl.org/auteurs/auteur.php?id=andr036	andr036	Hendrik Franciscus	Andriessen	Hendrik Andriessen	1892-09-17	Haarlem	Nederland	1981-04-12	Haarlem	Nederland	male	jongleur/musicus/minstreel	Twintigste Eeuw	nl			speelman/acrobaat/musicus	4.0/7.0/4.0	4.0
Kees Meekel	https://www.dbnl.org/auteurs/auteur.php?id=meek001	meek001	Kees	Meekel	Kees Meekel	1883-10-07	Amstelveen	Nederland	1953-11-25	Bachellerie	Frankrijk	male		Twintigste Eeuw	nl					
Pieter van der Meer de Walcheren	https://www.dbnl.org/auteurs/auteur.php?id=meer001	meer001	Petrus Matthias Balthazar Albertus	van der Meer de Walcheren	Pieter van der Meer de Walcheren	1880-09-10	Utrecht	Nederland	1970-12-16	Breda	Nederland	male	rk-geestelijke/kloosterling/redacteur/journalist	Twintigste Eeuw	nl			rooms-katholiek geestelijke/redacteur/kloosterling/journalist	2.0/2.0/4.0/2.0	2.0
Herman de Man	https://www.dbnl.org/auteurs/auteur.php?id=man_002	man_002	Herman	de Man	Herman de Man/Salomon Herman Hamburger	1898-07-11	Woerden	Nederland	1946-11-14	Schiphol		male		Twintigste Eeuw	nl					
Michel de Ghelderode	https://www.dbnl.org/auteurs/auteur.php?id=ghel002	ghel002	Michel	de Ghelderode	Michel de Ghelderode	1898-04-03	Elsene	België (Brussel)	1962-04-01	Schaarbeek	België (Brussel)	male		Twintigste Eeuw	fr					
Willem Putman	https://www.dbnl.org/auteurs/auteur.php?id=putm004	putm004	Willem	Putman	Jean du Parc/W. Hegeling/Willem Putman	1900-06-07	Waregem	België (Vlaanderen)	1954-09-03	Brugge	België (Vlaanderen)	male		Twintigste Eeuw	nl	jeugdliteratuur				
To Hölscher	https://www.dbnl.org/auteurs/auteur.php?id=hols006	hols006	Catharina Margaretha Clasina	Hölscher	To Hölscher	1898-01-16	Helmond	Nederland	1953-12-09	Helmond	Nederland	female	leraar/docent/hoogleraar	Twintigste Eeuw	nl	jeugdliteratuur		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Jos. Panhuijsen	https://www.dbnl.org/auteurs/auteur.php?id=panh001	panh001	Josephus Lambertus Antonius	Panhuijsen	Jos. Panhuijsen	1900-05-13	Tilburg	Nederland	1986-01-21	Amsterdam	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl			redacteur/journalist	2.0/2.0	2.0
Pierre Kemp	https://www.dbnl.org/auteurs/auteur.php?id=kemp005	kemp005	Petrus Johannes (Pierre)	Kemp	J. Umbo/Pierre Kemp/Rob Ree/W. Maasbrug/X.Y.Z.	1886-12-01	Maastricht	Nederland	1967-07-21	Maastricht	Nederland	male	illustrator/tekenaar/beeldend kunstenaar	Twintigste Eeuw	nl	nonfictie/limburg		tekenaar/illustrateur/beeldhouwer	4.0/4.0/4.0	4.0
Paul van Ostaijen	https://www.dbnl.org/auteurs/auteur.php?id=osta002	osta002	Paul	van Ostaijen	Paul van Ostaijen	1896-02-22	Antwerpen	België (Vlaanderen)	1928-03-18	Miavoye-Anthée	België (Wallonië)	male	redacteur/journalist	Twintigste Eeuw	nl			redacteur/journalist	2.0/2.0	2.0
Victor J. Brunclair	https://www.dbnl.org/auteurs/auteur.php?id=brun005	brun005	Victor J.	Brunclair	Bardemeyer/Bonafied/David Angel/Victor J. Brunclair	1899-10-18	Antwerpen	België (Vlaanderen)	1944-11-21	Lagelund	Duitsland	male		Twintigste Eeuw	nl					
Anton van Duinkerken	https://www.dbnl.org/auteurs/auteur.php?id=duin004	duin004	Anton	van Duinkerken	Anton van Duinkerken/Ch. André Leffens/Dom Muet/Pieter Bakx/W.J.M.A. Asselbergs/Wilhelmus Johannes Maria Antonius Asselbergs	1903-01-02	Bergen op Zoom	Nederland	1968-07-27	Nijmegen	Nederland	male	journalist/leraar/redacteur/hoogleraar/docent	Twintigste Eeuw	nl	secundair/nonfictie		redacteur/hoogleraar/leraar/docent/journalist	2.0/2.0/2.0/2.0/2.0	2.0
Marie Koenen	https://www.dbnl.org/auteurs/auteur.php?id=koen006	koen006	Marie	Koenen	Annie van Zuyden/Marie Koenen	1879-01-19	's-Hertogenbosch	Nederland	1959-07-10	Maastricht	Nederland	female		Twintigste Eeuw	nl	jeugdliteratuur/limburg				
A. Roland Holst	https://www.dbnl.org/auteurs/auteur.php?id=rola001	rola001	Adriaan (Jani)	Roland Holst	A. Roland Holst	1888-05-23	Amsterdam	Nederland	1976-08-06	Bergen	Nederland	male		Twintigste Eeuw	nl	secundair				
N.A. Donkersloot	https://www.dbnl.org/auteurs/auteur.php?id=donk007	donk007	N.A.	Donkersloot	Anthonie Donker/N.A. Donkersloot	1902-09-08	Rotterdam	Nederland	1965-12-26	Amsterdam	Nederland	male	vertaler	Twintigste Eeuw	nl			vertaler	4.0	4.0
Roel Houwink	https://www.dbnl.org/auteurs/auteur.php?id=houw008	houw008	Roelof Martinus Frederik	Houwink	H. van Elro/Roel Houwink	1899-01-17	Breda	Nederland	1987-06-03	Zeist	Nederland	male	journalist/psychol/jurist/zielsverzorger/redacteur/ps.ther./advocaat	Twintigste Eeuw	nl			advocaat/journalist/redacteur/jurist/psycholoog/zielmaker	2.0/2.0/2.0/2.0/2.0/7.0	2.0
Mathias Kemp	https://www.dbnl.org/auteurs/auteur.php?id=kemp004	kemp004	Mathias	Kemp	Eric/M. van Wijk/Mathias Kemp	1890-12-31	Maastricht	Nederland	1964-08-07	Maastricht	Nederland	male	boekhandelaar/uitgever/schilder/boekdrukker	Twintigste Eeuw	nl	nonfictie/limburg		uitgever/boekhandelaar/boekdrukker/schilder	1.0/4.0/7.0/9.0	1.0
J.C. van Schagen	https://www.dbnl.org/auteurs/auteur.php?id=scha027	scha027	Johan Christiaan Jacobus	van Schagen	J.C. van Schagen	1891-12-11	Vlissingen	Nederland	1985-04-17	Deventer	Nederland	male	illustrator/tekenaar/beeldend kunstenaar	Twintigste Eeuw	nl	secundair/nonfictie		tekenaar/illustrateur/beeldhouwer	4.0/4.0/4.0	4.0
Henrik Scholte	https://www.dbnl.org/auteurs/auteur.php?id=scho012	scho012	Henrik	Scholte	Henrik Scholte	1903-01-25	Groningen	Nederland	1988-05-28	Amsterdam	Nederland	male	advocaat/jurist	Twintigste Eeuw	nl			advocaat/jurist	2.0/2.0	2.0
A. den Doolaard	https://www.dbnl.org/auteurs/auteur.php?id=dool001	dool001	A.	den Doolaard	A. den Doolaard/C.J.G. Spoelstra/Cornelis Johannes George Spoelstra	1901-02-07	Zwolle	Nederland	1994-06-26	Hoenderloo	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl	secundair/nonfictie		redacteur/journalist	2.0/2.0	2.0
Martien Beversluis	https://www.dbnl.org/auteurs/auteur.php?id=beve004	beve004	Martinus	Beversluis	Huib Wouters/M.B. Versluis/Martien Beversluis/Reinier Bloemert/Silvius Berckhout/Thea de Born	1894-03-28	Barendrecht	Nederland	1966-02-18	Vrouwenpolder	Nederland	male	journalist/redacteur/staatsman/bestuurder/politicus	Twintigste Eeuw	nl			bestuurder/ambtman/journalist/redacteur	1.0/1.0/2.0/2.0	1.0
J.J. ten Berge S.J.	https://www.dbnl.org/auteurs/auteur.php?id=berg113	berg113	Joannes Josephus	ten Berge S.J.	J.J. ten Berge S.J.	1892-12-14	Leens	Nederland	1978-12-23	Nijmegen	Nederland	male	rk-geestelijke/kloosterling/redacteur/journalist	Twintigste Eeuw				rooms-katholiek geestelijke/redacteur/kloosterling/journalist	2.0/2.0/4.0/2.0	2.0
Erich Wichman	https://www.dbnl.org/auteurs/auteur.php?id=wich002	wich002	Erich	Wichman	Erich Wichman	1890-08-11	Utrecht	Nederland	1929-01-01	Amsterdam	Nederland	male	staatsman/schilder/bestuurder/politicus	Twintigste Eeuw	nl			bestuurder/ambtman/schilder	1.0/1.0/9.0	1.0
Blaise Cendrars	https://www.dbnl.org/auteurs/auteur.php?id=cend001	cend001	Frédéric Louis	Cendrars	Blaise Cendrars/Frédéric Louis Sauser	1887-09-01	La Chaux-de-Fonds	Zwitserland	1961-01-21	Parijs	Frankrijk	male		Twintigste Eeuw	fr	buitenland				
H.W.E. Moller	https://www.dbnl.org/auteurs/auteur.php?id=moll007	moll007	Hendrik Willem Evert	Moller	H.W.E. Moller/Hendrik Möller	1869-11-08	Amsterdam	Nederland	1940-12-06	Tilburg	Nederland	male	staatsman/bestuurder/politicus	19e/20e Eeuw	nl	secundair		bestuurder/ambtman	1.0/1.0	1.0
Dop Bles	https://www.dbnl.org/auteurs/auteur.php?id=bles001	bles001	Adolf	Bles	A. Dolfers/Dop Bles/Ida de Wilde/J. Th. Ring/R. Brevier/R. de Buci/Ronselaar Brevier	1883-09-08	Rotterdam	Nederland	1940-01-16	Den Haag	Nederland	male	boekhandelaar	Twintigste Eeuw	nl			boekhandelaar	4.0	4.0
Hans van Zijl	https://www.dbnl.org/auteurs/auteur.php?id=zijl001	zijl001	Joanna Maria Jannetta	van Zijl	De Kat-van Zijl/Hans de Kat/Hans van Zijl	1910-xx-xx			1963-12-03			female		Twintigste Eeuw						
François Villon	https://www.dbnl.org/auteurs/auteur.php?id=vill006	vill006	François	Villon	François Villon/François de Montcorbier	1431-xx-xx	Frankrijk	Frankrijk	ca. 1463-xx-xx			male		Middeleeuwen		buitenland				
J. Wille	https://www.dbnl.org/auteurs/auteur.php?id=will006	will006	Jacobus	Wille	J. Wille	1881-04-08	Koudekerk aan den Rijn	Nederland	1964-04-16	Oosterbeek	Nederland	male		Twintigste Eeuw	nl	secundair				
Henri Morel	https://www.dbnl.org/auteurs/auteur.php?id=more012	more012	Hendrikus Stephanus Antonius Morel	Morel	Alex Campaert/Henri Morel	1898-11-28	Nijmegen	Nederland	1969-11-03	Heerlen	Nederland	male	vertaler/redacteur/journalist	Twintigste Eeuw				redacteur/vertaler/journalist	2.0/4.0/2.0	2.0
J.H. Horemans	https://www.dbnl.org/auteurs/auteur.php?id=hore012	hore012	J.H.	Horemans	J.H. Horemans							male		19e/20e Eeuw		jeugdliteratuur				
Theo Vonck	https://www.dbnl.org/auteurs/auteur.php?id=vonc002	vonc002	Theo	Vonck	Flore Cuwart/Theo Vonck	1900-xx-xx			1974-xx-xx			male		Twintigste Eeuw						
Lambert Melissen	https://www.dbnl.org/auteurs/auteur.php?id=meli008	meli008	Lambert Petrus Antonius	Melissen	Lambert Melissen/Paul van der Waeter	1909-11-08	Langeweg	Nederland				male	onderwijzer (basisschool)	Twintigste Eeuw				onderwijzer op een lagere school	4.0	4.0
Gerard Wijdeveld	https://www.dbnl.org/auteurs/auteur.php?id=wijd001	wijd001	Gerard Egbert Antoon Maria	Wijdeveld	Gerard Wijdeveld	1905-xx-xx			1997-xx-xx			male		Twintigste Eeuw	nl					
[tijdschrift] Dietsche Warande en Belfort	https://www.dbnl.org/auteurs/auteur.php?id=_die004	_die004		[tijdschrift] Dietsche Warande en Belfort	[tijdschrift] Dietsche Warande en Belfort							male								
Mien Proost	https://www.dbnl.org/auteurs/auteur.php?id=proo004	proo004	Mien	Proost	H. Klomp/Mien Proost	1902-02-21	Amsterdam	Nederland	1987-11-07			female	redacteur/journalist	Twintigste Eeuw	nl			redacteur/journalist	2.0/2.0	2.0
Jacques Gans	https://www.dbnl.org/auteurs/auteur.php?id=gans001	gans001	Jacques	Gans	Jacques Gans	1907-12-07	Hilversum	Nederland	1972-08-26	Amsterdam	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl			redacteur/journalist	2.0/2.0	2.0
Theo Schlichting	https://www.dbnl.org/auteurs/auteur.php?id=schl007	schl007	Theo Herman	Schlichting	Theo Schlichting	1894-01-14	Graft	Nederland	1957-09-14	Amsterdam	Nederland	male	leraar/hoogleraar/docent/apotheker/medicus	Twintigste Eeuw	nl	nonfictie		medicus/hoogleraar/leraar/docent/apotheker	2.0/2.0/2.0/2.0/2.0	2.0
N. van Wijk	https://www.dbnl.org/auteurs/auteur.php?id=wijk002	wijk002	Nicolaas	van Wijk	N. van Wijk	1880-10-04	Delden	Nederland	1941-03-25	Leiden	Nederland	male	letterkundige (NIET-neerl.)	Twintigste Eeuw	nl	taalkunde		letterkundige	2.0	2.0
Hendrik Wiegersma	https://www.dbnl.org/auteurs/auteur.php?id=wieg004	wieg004	Hendrikus Josephus Maria (Hendrik)	Wiegersma	Hendrik Wiegersma	1891-10-07	Lith	Nederland	1969-04-05	Deurne	België (Vlaanderen)	male	tekenaar/schilder/illustrator/apotheker/medicus/beeldend kunstenaar	Twintigste Eeuw	nl	nonfictie		medicus/beeldhouwer/illustrateur/tekenaar/apotheker/schilder	2.0/4.0/4.0/4.0/2.0/9.0	2.0
Theun de Vries	https://www.dbnl.org/auteurs/auteur.php?id=vrie049	vrie049	Theunis Uilke	de Vries	Ibn-Askari/Theun de Vries	1907-04-26	Veenwouden	Nederland	2005-01-21	Amsterdam	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl	secundair/fries		redacteur/journalist	2.0/2.0	2.0
H.E.H. van Loon	https://www.dbnl.org/auteurs/auteur.php?id=loon004	loon004	Hector Eli Henri	van Loon	H.E.H. van Loon	1885-xx-xx	Rotterdam	Nederland	1942-xx-xx			male		Twintigste Eeuw	nl					
J.F.M. Sterck	https://www.dbnl.org/auteurs/auteur.php?id=ster002	ster002	Johannes Franciscus Maria	Sterck	J.F.M. Sterck	1859-01-03	Amsterdam	Nederland	1941-08-28	Amsterdam	Nederland	male		19e/20e Eeuw	nl	secundair				
J.C. Bloem	https://www.dbnl.org/auteurs/auteur.php?id=bloe001	bloe001	Jacobus Cornelis	Bloem	Ego Flos/Fey/J.C. Bloem/Jacques Bloem	1887-05-10	Oudshoorn	Nederland	1966-08-10	Kalenberg	Nederland	male	advocaat/jurist	Twintigste Eeuw	nl	secundair		advocaat/jurist	2.0/2.0	2.0
Vic Reinders	https://www.dbnl.org/auteurs/auteur.php?id=rein003	rein003	Mathieu Antoine Victor	Reinders	Vic Reinders	1888-08-07	Maastricht	Nederland	1961-06-14	Maastricht	Nederland	male	tekenaar/leraar/hoogleraar/illustrator/docent/beeldend kunstenaar	Twintigste Eeuw	nl	limburg		hoogleraar/leraar/docent/beeldhouwer/illustrateur/tekenaar	2.0/2.0/2.0/4.0/4.0/4.0	2.0
Jan H. Eekhout	https://www.dbnl.org/auteurs/auteur.php?id=eekh004	eekh004	Jan Hendrik	Eekhout	E. van der Eerde/Jan H. Eekhout	1900-01-10	Sluis	Nederland	1978-03-06	Amsterdam	Nederland	male	vertaler/redacteur/journalist	Twintigste Eeuw	nl	secundair		redacteur/vertaler/journalist	2.0/4.0/2.0	2.0
Huub van der Grinten	https://www.dbnl.org/auteurs/auteur.php?id=grin002	grin002	Hubertus Franciscus Antonius Maria	van der Grinten	Huub van der Grinten	18xx-xx-xx						male		Twintigste Eeuw						
